Year,Make,Model,FCCid,Frequency,Modulation,Exploit,ExploitSource,Chipset
2011,Chrysler,Sebring,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2011,Chrysler,Town & Country,IYZ-C01C,433.92,ASK/FSK,,,
2012,Chrysler,200,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2012,Chrysler,300,M3N-40821302,433.92,ASK,,,
2012,Chrysler,Sebring,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2012,Chrysler,Town & Country,IYZ-C01C,433.92,ASK/FSK,,,
2013,Chrysler,200,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2013,Chrysler,300,M3N-40821302,433.92,ASK,,,
2013,Chrysler,Sebring,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2013,Chrysler,Town & Country,IYZ-C01C,433.92,ASK/FSK,,,
2014,Chrysler,200,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2014,Chrysler,300,M3N-40821302,433.92,ASK,,,
2014,Chrysler,Sebring,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2014,Chrysler,Town & Country,IYZ-C01C,433.92,ASK/FSK,,,
2015,Chrysler,200,M3N-40821302,433.92,ASK,,,
2015,Chrysler,300,M3N-40821302,433.92,ASK,,,
2015,Chrysler,Town & Country,IYZ-C01C,433.92,ASK/FSK,,,
2016,Chrysler,200,M3N-40821302,433.92,ASK,,,
2016,Chrysler,300,M3N-40821302,433.92,ASK,,,
2016,Chrysler,Town & Country,IYZ-C01C,433.92,ASK/FSK,,,
2017,Chrysler,200,M3N-40821302,433.92,ASK,,,
2017,Chrysler,300,M3N-40821302,433.92,ASK,,,
2017,Chrysler,Pacifica,M3N-97395900,433.92,ASK/FSK,,,
2018,Chrysler,300,M3N-40821302,433.92,ASK,,,
2018,Chrysler,Pacifica,M3N-97395900,433.92,ASK/FSK,,,
2019,Chrysler,300,M3N-40821302,433.92,ASK,,,
2019,Chrysler,Pacifica,M3N-97395900,433.92,ASK/FSK,,,
2020,Chrysler,300,M3N-40821302,433.92,ASK,,,
2020,Chrysler,Pacifica,M3N-97395900,433.92,ASK/FSK,,,
2020,Chrysler,Voyager,M3N-97395900,433.92,ASK/FSK,,,
2021,Chrysler,300,M3N-40821302,433.92,ASK,,,
2021,Chrysler,Pacifica,M3N-97395900,433.92,ASK/FSK,,,
2021,Chrysler,Voyager,M3N-97395900,433.92,ASK/FSK,,,
2004,Dodge,Caravan,M3N5WY72XX,315,ASK,,,
2004,Dodge,Durango,KOBDT04A,315,ASK,,,
2004,Dodge,Durango,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2005,Dodge,Caravan,M3N5WY72XX,315,ASK,,,
2005,Dodge,Charger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2005,Dodge,Durango,KOBDT04A,315,ASK,,,
2005,Dodge,Durango,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2005,Dodge,Magnum,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Dodge,Caravan,M3N5WY72XX,315,ASK,,,
2006,Dodge,Charger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Dodge,Durango,KOBDT04A,315,ASK,,,
2006,Dodge,Durango,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Dodge,Magnum,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Dodge,RAM,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,Caliber,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,Caravan,M3N5WY72XX,315,ASK,,,
2007,Dodge,Charger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,Durango,KOBDT04A,315,ASK,,,
2007,Dodge,Durango,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,Magnum,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,Nitro,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,RAM,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2008,Dodge,Avenger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2008,Dodge,Caliber,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2008,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2008,Dodge,Challenger,IYZ-C01C,433.92,ASK/FSK,,,
2008,Dodge,Charger,IYZ-C01C,433.92,ASK/FSK,,,
2008,Dodge,Durango,KOBDT04A,315,ASK,,,
2008,Dodge,Durango,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2008,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2008,Dodge,Journey,IYZ-C01C,433.92,ASK/FSK,,,
2008,Dodge,Magnum,IYZ-C01C,433.92,ASK/FSK,,,
2008,Dodge,Nitro,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2008,Dodge,RAM,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2009,Dodge,Avenger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2009,Dodge,Caliber,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2009,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2009,Dodge,Challenger,IYZ-C01C,433.92,ASK/FSK,,,
2009,Dodge,Charger,IYZ-C01C,433.92,ASK/FSK,,,
2009,Dodge,Durango,KOBDT04A,315,ASK,,,
2009,Dodge,Durango,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2009,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2009,Dodge,Journey,IYZ-C01C,433.92,ASK/FSK,,,
2009,Dodge,Nitro,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2009,Dodge,Ram,IYZ-C01C,433.92,ASK/FSK,,,
2010,Dodge,Avenger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2010,Dodge,Caliber,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2010,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2010,Dodge,Challenger,IYZ-C01C,433.92,ASK/FSK,,,
2010,Dodge,Charger,IYZ-C01C,433.92,ASK/FSK,,,
2010,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2010,Dodge,Journey,IYZ-C01C,433.92,ASK/FSK,,,
2010,Dodge,Nitro,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2010,Dodge,Ram,IYZ-C01C,433.92,ASK/FSK,,,
2011,Dodge,Avenger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2011,Dodge,Caliber,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2011,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2011,Dodge,Challenger,IYZ-C01C,433.92,ASK/FSK,,,
2011,Dodge,Charger,IYZ-C01C,433.92,ASK/FSK,,,
2011,Dodge,Charger,M3N-40821302,433.92,ASK,,,
2011,Dodge,Durango,IYZ-C01C,433.92,ASK/FSK,,,
2011,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2011,Dodge,Journey,M3N-40821302,433.92,ASK,,,
2011,Dodge,Nitro,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2011,Dodge,Ram,IYZ-C01C,433.92,ASK/FSK,,,
2012,Dodge,Avenger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2012,Dodge,Caliber,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2012,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2012,Dodge,Challenger,IYZ-C01C,433.92,ASK/FSK,,,
2012,Dodge,Charger,IYZ-C01C,433.92,ASK/FSK,,,
2012,Dodge,Charger,M3N-40821302,433.92,ASK,,,
2012,Dodge,Dart,M3N32297100,433.92,ASK,,,
2012,Dodge,Durango,IYZ-C01C,433.92,ASK/FSK,,,
2012,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2012,Dodge,Journey,M3N-40821302,433.92,ASK,,,
2012,Dodge,Nitro,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2012,Dodge,Ram,IYZ-C01C,433.92,ASK/FSK,,,
2013,Dodge,Avenger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2013,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2013,Dodge,Challenger,IYZ-C01C,433.92,ASK/FSK,,,
2013,Dodge,Charger,IYZ-C01C,433.92,ASK/FSK,,,
2013,Dodge,Charger,M3N-40821302,433.92,ASK,,,
2013,Dodge,Dart,M3N32297100,433.92,ASK,,,
2013,Dodge,Dart,M3N-40821302,433.92,ASK,,,
2013,Dodge,Durango,IYZ-C01C,433.92,ASK/FSK,,,
2013,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2013,Dodge,Journey,M3N-40821302,433.92,ASK,,,
2013,Dodge,Ram 1500,GQ4-53T,433.92,ASK,,,
2013,Dodge,Ram,GQ4-53T,433.92,ASK,,,
2013,Dodge,Ram,GQ4-54T,433.92,ASK,,,
2014,Dodge,Avenger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2014,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2014,Dodge,Challenger,IYZ-C01C,433.92,ASK/FSK,,,
2014,Dodge,Charger,M3N-40821302,433.92,ASK,,,
2014,Dodge,Dart,M3N32297100,433.92,ASK,,,
2014,Dodge,Dart,M3N-40821302,433.92,ASK,,,
2014,Dodge,Durango,M3N-40821302,433.92,ASK,,,
2014,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2014,Dodge,Journey,M3N-40821302,433.92,ASK,,,
2014,Dodge,Ram 1500,GQ4-53T,433.92,ASK,,,
2014,Dodge,Ram,GQ4-53T,433.92,ASK,,,
2014,Dodge,Ram,GQ4-54T,433.92,ASK,,,
2015,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2015,Dodge,Challenger,M3N-40821302,433.92,ASK,,,
2015,Dodge,Charger,M3N-40821302,433.92,ASK,,,
2015,Dodge,Dart,M3N32297100,433.92,ASK,,,
2015,Dodge,Dart,M3N-40821302,433.92,ASK,,,
2015,Dodge,Durango,M3N-40821302,433.92,ASK,,,
2015,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2015,Dodge,Journey,M3N-40821302,433.92,ASK,,,
2015,Dodge,Ram 1500,GQ4-53T,433.92,ASK,,,
2015,Dodge,Ram,GQ4-53T,433.92,ASK,,,
2015,Dodge,Ram,GQ4-54T,433.92,ASK,,,
2016,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2016,Dodge,Challenger,M3N-40821302,433.92,ASK,,,
2016,Dodge,Charger,M3N-40821302,433.92,ASK,,,
2016,Dodge,Dart,M3N32297100,433.92,ASK,,,
2016,Dodge,Dart,M3N-40821302,433.92,ASK,,,
2016,Dodge,Durango,M3N-40821302,433.92,ASK,,,
2016,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2016,Dodge,Journey,M3N-40821302,433.92,ASK,,,
2016,Dodge,Ram 1500,GQ4-53T,433.92,ASK,,,
2016,Dodge,Ram,GQ4-53T,433.92,ASK,,,
2016,Dodge,Ram,GQ4-54T,433.92,ASK,,,
2017,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2017,Dodge,Challenger,M3N-40821302,433.92,ASK,,,
2017,Dodge,Charger,M3N-40821302,433.92,ASK,,,
2017,Dodge,Dart,M3N32297100,433.92,ASK,,,
2017,Dodge,Durango,M3N-40821302,433.92,ASK,,,
2017,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2017,Dodge,Journey,M3N-40821302,433.92,ASK,,,
2017,Dodge,Ram 1500,GQ4-53T,433.92,ASK,,,
2017,Dodge,Ram,GQ4-53T,433.92,ASK,,,
2017,Dodge,Ram,GQ4-54T,433.92,ASK,,,
2018,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2018,Dodge,Challenger,M3N-40821302,433.92,ASK,,,
2018,Dodge,Charger,M3N-40821302,433.92,ASK,,,
2018,Dodge,Durango,M3N-40821302,433.92,ASK,,,
2018,Dodge,Durango SRT,M3N-40821302,433.92,ASK,,,
2018,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2018,Dodge,Journey,M3N-40821302,433.92,ASK,,,
2018,Dodge,Ram 1500,GQ4-53T,433.92,ASK,,,
2018,Dodge,Ram,GQ4-53T,433.92,ASK,,,
2018,Dodge,Ram,GQ4-54T,433.92,ASK,,,
2019,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2019,Dodge,Challenger,M3N-40821302,433.92,ASK,,,
2019,Dodge,Challenger SRT,M3M-40821302,433.92,FSK,,typo; should be m3n,
2019,Dodge,Charger,M3N-40821302,433.92,ASK,,,
2019,Dodge,Charger SRT,M3M-40821302,433.92,FSK,,typo; should be m3n,
2019,Dodge,Durango,M3N-40821302,433.92,ASK,,,
2019,Dodge,Durango SRT,M3N-40821302,433.92,ASK,,,
2019,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2019,Dodge,Journey,M3N-40821302,433.92,ASK,,,
2019,Dodge,Ram 1500,GQ4-53T,433.92,ASK,,,
2019,Dodge,Ram 1500,OHT-4882056,433.92,ASK,,,
2019,Dodge,Ram 2500,GQ4-76T,433.92,ASK/FSK,,,
2019,Dodge,Ram 3500,GQ4-76T,433.92,ASK/FSK,,,
2019,Dodge,Ram 4500,GQ4-76T,433.92,ASK/FSK,,,
2019,Dodge,Ram 5500,GQ4-76T,433.92,ASK/FSK,,,
2019,Dodge,Ram,GQ4-53T,433.92,ASK,,,
2020,Dodge,Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2020,Dodge,Challenger,M3N-40821302,433.92,ASK,,,
2020,Dodge,Challenger SRT,M3M-40821302,433.92,FSK,,typo; should be m3n,
2020,Dodge,Charger,M3N-40821302,433.92,ASK,,,
2020,Dodge,Charger SRT,M3M-40821302,433.92,FSK,,typo; should be m3n,
2020,Dodge,Durango,M3N-40821302,433.92,ASK,,,
2020,Dodge,Durango SRT,M3N-40821302,433.92,ASK,,,
2020,Dodge,Grand Caravan,IYZ-C01C,433.92,ASK/FSK,,,
2020,Dodge,Journey,M3N-40821302,433.92,ASK,,,
2020,Dodge,Ram 1500,GQ4-53T,433.92,ASK,,,
2020,Dodge,Ram 1500,OHT-4882056,433.92,ASK,,,
2020,Dodge,Ram 2500,GQ4-76T,433.92,ASK/FSK,,,
2020,Dodge,Ram 3500,GQ4-76T,433.92,ASK/FSK,,,
2020,Dodge,Ram 4500,GQ4-76T,433.92,ASK/FSK,,,
2020,Dodge,Ram 5500,GQ4-76T,433.92,ASK/FSK,,,
2020,Dodge,Ram,GQ4-53T,433.92,ASK,,,
2021,Dodge,Challenger,M3N-40821302,433.92,ASK,,,
2021,Dodge,Challenger SRT,M3M-40821302,433.92,FSK,,typo; should be m3n,
2021,Dodge,Charger,M3N-40821302,433.92,ASK,,,
2021,Dodge,Charger SRT,M3M-40821302,433.92,FSK,,typo; should be m3n,
2021,Dodge,Durango,M3N-40821302,433.92,ASK,,,
2021,Dodge,Durango SRT Smart ,M3N-40821302,433.92,ASK,,,
2021,Dodge,Ram 1500,GQ4-53T,433.92,ASK,,,
2021,Dodge,Ram 1500,OHT-4882056,433.92,ASK,,,
2021,Dodge,Ram 2500,GQ4-76T,433.92,ASK/FSK,,,
2021,Dodge,Ram 3500,GQ4-76T,433.92,ASK/FSK,,,
2021,Dodge,Ram 4500,GQ4-76T,433.92,ASK/FSK,,,
2021,Dodge,Ram 5500,GQ4-76T,433.92,ASK/FSK,,,
2021,Dodge,Ram,GQ4-53T,433.92,ASK,,,
2022,Dodge,Ram 2500,GQ4-76T,433.92,ASK/FSK,,,
2022,Dodge,Ram 3500,GQ4-76T,433.92,ASK/FSK,,,
2022,Dodge,Ram 4500,GQ4-76T,433.92,ASK/FSK,,,
2022,Dodge,Ram 5500,GQ4-76T,433.92,ASK/FSK,,,
2004,Dodge,Durango,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2005,Chrysler,300,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2005,Dodge,Charger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2005,Dodge,Durango,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2005,Dodge,Magnum,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2005,Jeep,Grand Cherokee,KOBDT04A,315,ASK,,,
2005,Jeep,Grand Cherokee,OHT692427AA / OHT692713AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2005,Jeep,Grand Cherokee,OHT692713AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2005,Jeep,Liberty,M3N5WY72XX,315,ASK,,,
2005,Jeep,Liberty,M3N5WY72XX / M3N65981772,315,ASK,,,
2006,Chrysler,300,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Chrysler,PT Cruiser,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Dodge,Charger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Dodge,Durango,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Dodge,Magnum,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Dodge,RAM,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Jeep,Commander,KOBDT04A,315,ASK,,,
2006,Jeep,Commander,OHT692427AA / OHT692713AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Jeep,Commander,OHT692713AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Jeep,Grand Cherokee,KOBDT04A,315,ASK,,,
2006,Jeep,Grand Cherokee,OHT692427AA / OHT692713AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Jeep,Grand Cherokee,OHT692713AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2006,Jeep,Liberty,M3N5WY72XX,315,ASK,,,
2006,Jeep,Liberty,M3N5WY72XX / M3N65981772,315,ASK,,,
2007,Chrysler,300,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Chrysler,Aspen,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Chrysler,PT Cruiser,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Chrysler,Sebring,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,Caliber,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,Charger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
